"FriendlyName","Publisher","LatestVersionPattern","DownlevelPattern","ValidatedPattern"
"Adobe Acrobat DC","Adobe","^Adobe Acrobat DC 18$","^Adobe Acrobat (Pro 10|DC 15)$","True"
"Adobe AIR","Adobe","^Adobe Systems Incorporated Adobe AIR$","NULL","False"
"Adobe Creative Cloud","Adobe","^Adobe Systems Incorporated Creative Cloud 1$","NULL","False"
"Adobe LiveCycle","Adobe","^Adobe Adobe LiveCycle ES4$","NULL","False"
"Autodesk AutoCAD","Autodesk","^Autodesk AutoCAD Architecture 2018$","NULL","False"
"F5 Big-IP Edge Client","F5 Networks","^F5 Networks Big-IP Edge Client","NULL","False"
"Google Earth","Google","^Google Earth Pro$","^Google Earth$","False"
"GoToMeeting","Citrix","^Citrix GoToMeeting 8$","NULL","False"
"Microsoft Office 365","Microsoft","^Microsoft Office 365 ProPlus( - en-us)?$","NULL","True"
"Microsoft Project Professional","Microsoft","^Microsoft Project Professional 2016( - en-us)?$","^Microsoft Project Professional 2013( - en-us)?$","True"
"Microsoft Visio Professional","Microsoft","^Microsoft Visio Professional 2016( - en-us)?$","^Microsoft Visio Professional 2013( - en-us)?$","True"
"Microsoft Visual Studio Enterprise (MSDN)","Microsoft","^Microsoft Visual Studio Enterprise with MSDN 2015$","NULL","False"
"Microsoft Visual Studio Professional","Microsoft","^Microsoft Visual Studio Professional Edition 2010$","^Microsoft Visual Studio Professional Edition 2008$","False"
"Microsoft Visual Studio Professional (MSDN)","Microsoft","^Microsoft Visual Studio Professional with MSDN 2015$","^Microsoft Visual Studio Professional with MSDN 2013$","False"
"Microsoft Visual Studio Ultimate (MSDN)","Microsoft","^Microsoft Visual Studio Ultimate with MSDN 2013$","NULL","False"
"Nuance Dragon Naturally Speaking","Nuance","^Nuance Communications Inc. Dragon Naturally Speaking 15$","^Nuance Dragon Naturally Speaking (10|11|12|13|14)$","True"
"Tableau Desktop","Tableau","^Tableau Software Tableau Desktop 10.5(\.[1-9]{1})?$","^Tableau Software Tableau Desktop (9|10|10\.3|10\.4)$","True"
"Tableau Public","Tableau","^Tableau Software Tableau Public 10.5$","^Tableau Software Tableau Public 10$","True"